lvl0,lvl1,lvl2,lvl3,lvl4,unit,amount
root,,,,,,
,Energysystem,,,,,
,,Generation,,,,
,,,Electricity_generation,,,
,,,,wind_onshore__electricity___PRT_1,,
,,,,wind_offshore__electricity___PRT_1,,
,,,,hydro_run_of_river__electricity___PRT_2,,
,,,,hydro_run_of_river__electricity___PRT_1,,
,,,,hydro_reservoir__electricity___PRT_2,,
,,,,hydro_reservoir__electricity___PRT_1,,
,,,,ccgt__electricity___PRT_1,,
,,,,ccgt__electricity___PRT_2,,
,,,,chp_biofuel_extraction__electricity___PRT_1,,
,,,,chp_biofuel_extraction__electricity___PRT_2,,
,,,,open_field_pv__electricity___PRT_1,,
,,,,existing_wind__electricity___PRT_1,,
,,,,existing_pv__electricity___PRT_1,,
,,,,roof_mounted_pv__electricity___PRT_1,,
,,,,chp_wte_back_pressure__electricity___PRT_2,,
,,,,chp_wte_back_pressure__electricity___PRT_1,,
,,,,chp_methane_extraction__electricity___PRT_1,,
,,,,chp_methane_extraction__electricity___PRT_2,,
,,,,waste_supply__waste___PRT_2,,
,,,,waste_supply__waste___PRT_1,,
,,,Thermal_generation,,,
,,,,biofuel_supply__biofuel___PRT_1,kilogram,2324535827.387161
,,,,biofuel_supply__biofuel___PRT_2,kilogram,1836743801.9986584
,,,,chp_biofuel_extraction__heat___PRT_1,,
,,,,chp_biofuel_extraction__heat___PRT_2,,
,,,,chp_wte_back_pressure__heat___PRT_2,,
,,,,chp_wte_back_pressure__heat___PRT_1,,
,,,,chp_methane_extraction__heat___PRT_2,,
,,,,chp_methane_extraction__heat___PRT_1,,
,,,,biofuel_boiler__heat___PRT_1,megajoule,32291365319.295486
,,,,biofuel_boiler__heat___PRT_2,megajoule,1392863.5210272877
,,,,methane_boiler__heat___PRT_1,,
,,,,methane_boiler__heat___PRT_2,,
,,Storage,,,,
,,,Electricity_storage,,,
,,,,battery__electricity___PRT_1,kilogram,2186627.023973747
,,,,battery__electricity___PRT_2,kilogram,2392524.3514573355
,,,,pumped_hydro__electricity___PRT_1,,
,,,,pumped_hydro__electricity___PRT_2,,
,,,Thermal_storage,,,
,,,,heat_storage_big__heat___PRT_2,,
,,,,heat_storage_big__heat___PRT_1,,
,,,,heat_storage_small__heat___PRT_1,,
,,,,heat_storage_small__heat___PRT_2,,
,,,,methane_storage__methane___PRT_1,,
,,,,methane_storage__methane___PRT_2,,
