lvl0,lvl1,unit,amount,ozone depletion potential (ODPinfinite) (kg CFC-11-Eq),agricultural land occupation (LOP) (m2*a crop-Eq),surplus ore potential (SOP) (kg Cu-Eq),global warming potential (GWP1000) (kg CO2-Eq)
root,,teragram,5.902157475835186,21568.352249806103,11952412342.773071,5042616875.940803,48833773073.58201
,battery_electricity___PRT_1,kilogram,2392524.3514573355,20.71954957614831,1259106.9221789031,18058306.31744855,39981420.82530799
,battery_electricity___PRT_2,,,,,,
,biofuel_boiler_heat___PRT_1,megajoule,455502.6307597508,0.009108774957373835,8483.414344530644,34.43993383040613,34012.36395190521
,biofuel_boiler_heat___PRT_2,,,,,,
,biofuel_supply_biofuel___PRT_1,kilogram,1836743801.9986584,8070.713901659994,1783676778.97869,13093376.118964003,2565090454.6134596
,biofuel_supply_biofuel___PRT_2,,,,,,
,biofuel_to_diesel_diesel___PRT_1,kilogram,134864602.96156612,2253.7215230569254,630187400.767854,2769751.4752733135,513933148.1162282
,biofuel_to_diesel_diesel___PRT_2,,,,,,
,biofuel_to_methane_methane___PRT_1,cubic_meter,82053854.19021083,12.000198493821351,3516649.722826422,253702.73777249196,116824323.56869097
,biofuel_to_methane_methane___PRT_2,,,,,,
,biofuel_to_methanol_methanol___PRT_1,kilogram,977077808.6059113,169.03842842696986,1515363848.5250027,8439928.66797094,5457273555.500418
,biofuel_to_methanol_methanol___PRT_2,,,,,,
,ccgt_electricity___PRT_1,kilowatt_hour,13881.400346505445,0.0015571896983364373,8.703516825603591,54.685175710564394,7427.566402326298
,ccgt_electricity___PRT_2,,,,,,
,chp_biofuel_extraction_electricity___PRT_1,kilowatt_hour,69678.05661823627,0.029562647878170353,27533.03337841021,111.77526217080278,110387.57720354725
,chp_biofuel_extraction_heat___PRT_1,,,,,,
,chp_biofuel_extraction_electricity___PRT_2,,,,,,
,chp_biofuel_extraction_heat___PRT_2,,,,,,
,chp_methane_extraction_electricity___PRT_1,kilowatt_hour,42637.43026537456,0.002885388537955158,15.8336696196359,100.52937539860993,13764.7250277675
,chp_methane_extraction_heat___PRT_1,megajoule,466480.9813737708,0.0016153487337663974,8.86428255793671,56.28011744070483,7706.009462243282
,chp_methane_extraction_electricity___PRT_2,,,,,,
,chp_methane_extraction_heat___PRT_2,,,,,,
,chp_wte_back_pressure_electricity___PRT_1,kilowatt_hour,1006265969.7225946,0.0,0.0,0.0,0.0
,chp_wte_back_pressure_heat___PRT_1,megajoule,27329.759038686498,0.0,0.0,0.0,0.0
,chp_wte_back_pressure_electricity___PRT_2,,,,,,
,chp_wte_back_pressure_heat___PRT_2,,,,,,
,el_import_electricity___PRT_ESP-sink,kilowatt_hour,6454952493.619019,842.5787339329643,39056763.38791027,15910140.059363777,1835641519.6548233
,existing_pv_electricity___PRT_1,kilowatt_hour,39447363285.14897,922.8334144586954,897688279.910542,117194086.20380212,2648010243.0073695
,existing_wind_electricity___PRT_1,kilowatt_hour,56156251894.63052,242.41383793192276,57308425.223578885,115041313.79095522,819408264.792419
,heat_storage_big_heat___PRT_1,unit,35057.07213752601,8.243742435631722,3303342.528165227,7586817.071320896,39235159.88057774
,heat_storage_big_heat___PRT_2,,,,,,
,heat_storage_small_heat___PRT_1,unit,1775887.6288204012,346.47701250899047,84571674.05687982,292505745.9533685,1610085914.8249834
,heat_storage_small_heat___PRT_2,,,,,,
,hydro_reservoir_electricity___PRT_1,kilowatt_hour,393940793.2945773,0.6899831911433658,43211.5342427033,132178.61980143303,20513394.126848944
,hydro_reservoir_electricity___PRT_2,,,,,,
,hydro_run_of_river_electricity___PRT_1,kilowatt_hour,376776210.3658963,0.2931835406153764,66823.63095188641,156865.68307992353,1647630.479161078
,hydro_run_of_river_electricity___PRT_2,,,,,,
,methane_boiler_heat___PRT_1,,,,,,
,methane_boiler_heat___PRT_2,,,,,,
,methane_storage_methane___PRT_1,unit,2930.7961289037003,8409.607086290172,6916737250.631193,4446227421.91641,32408920543.68447
,methane_storage_methane___PRT_2,,,,,,
,open_field_pv_electricity___PRT_1,,,,,,
,pumped_hydro_electricity___PRT_1,kilowatt_hour,1308997113.3567877,268.975061319206,19596610.849757176,5246524.852001712,757029276.7502828
,pumped_hydro_electricity___PRT_2,,,,,,
,roof_mounted_pv_electricity___PRT_1,kilowatt_hour,44403.53070887512,0.0011139651173180977,80.93896438197514,110.27804214154149,2900.957198614674
,waste_supply_waste___PRT_1,,,,,,
,waste_supply_waste___PRT_2,,,,,,
,wind_offshore_electricity___PRT_1,kilowatt_hour,118948.5550318796,0.0007496679801950871,45.31514182518201,248.48536207022988,2024.557726096276
,wind_onshore_electricity___PRT_1,,,,,,
